"time_hh","doc_mgl"
0.295833311111111,4.0498
0.2972222,4.03996
0.298611088888889,4.01634
0.299999977777778,4.00059
0.301388866666667,4.02027
0.302777755555555,4.0065
0.304166644444444,4.05767
0.305555533333333,4.05964
0.306944422222222,4.04783
0.308333311111111,4.02027
0.3097222,4.0065
0.311111088888889,4.0498
0.312499977777778,4.03602
0.313888866666667,4.03208
0.315277755555556,4.01831
0.316666644444444,4.04783
0.318055533333333,4.03208
0.319444422222222,4.07735
0.320833311111111,4.06358
0.3222222,4.04783
0.323611088888889,4.02421
0.324999977777778,4.04192
0.326388866666667,4.00256
0.327777755555555,3.99665
0.329166644444444,4.02815
0.330555533333333,3.99075
0.331944422222222,4.00256
0.333333311111111,4.00453
0.3347222,4.0124
0.336111088888889,4.00256
0.337499977777778,4.00846
